First Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xAG/90,GA90,Save%,CS%,PK Save%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,KP,1/3,PPA,CrsPA,PrgP,Short Cmp%,Medium Cmp%,Long Cmp%,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att (Take-Ons),Succ% (Take-Ons),Tkld% (Take-Ons),Carries,PrgDist,ProgC,1/3 (Carries),CPA,Mis,Dis,Rec,PrgR,Fls,Fld,Off,Crs,Recov,Won (Aerial),Lost (Aerial),Won% (Aerial)
Archie,eng ENG,Tottenham,"DF,MF",19-040,23,14,"1,346",0,0,0,0,0.0,0.1,5,31,15,0.00,0.00,0.00,0.01,N/a,N/a,N/a,N/a,100.0,0.07,0.00,24.6,900,88.8,15780,2,37,0,0,31,92.5,93.0,61.4,5,0.33,0,0.00,12,6,16,10,19,10,9,10,1117,133,542,507,78,2,9,44.4,44.4,788,1492,5,5,0,7,10,849,15,9,11,0,12,56,9,8,52.9
Arijanet,xk KVX,Ipswich Town,GK,26-165,18,18,"1,620",0,0,1,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,1.83,70.0,5.6,0.0,N/a,0.00,N/a,N/a,454,71.7,11705,0,14,0,0,1,100.0,97.3,40.6,1,0.06,0,0.00,0,0,2,2,0,0,0,0,689,559,672,18,0,0,0,N/a,N/a,405,1178,0,0,0,3,1,321,0,0,4,0,0,26,11,1,91.7
Armando,al ALB,Everton,FW,23-223,10,4,334,0,0,1,0,0.1,0.2,12,2,26,0.00,0.00,0.03,0.05,N/a,N/a,N/a,N/a,0.0,0.00,0.00,17.3,53,72.6,594,4,3,0,0,2,77.8,83.3,66.7,7,1.89,0,0.00,3,1,0,0,3,0,3,1,127,4,14,47,72,18,16,50.0,43.8,64,281,12,8,3,16,13,94,26,6,4,3,1,9,18,21,46.2
Armel,de GER,Southampton,DF,23-131,4,2,331,0,0,0,0,0.3,0.0,0,5,0,0.00,0.00,0.09,0.00,N/a,N/a,N/a,N/a,0.0,0.00,0.00,9.1,202,90.2,3829,0,6,0,0,5,98.5,96.7,55.2,2,0.54,0,0.00,7,5,6,3,2,2,0,5,263,33,147,115,3,1,1,0.0,100.0,186,326,0,0,0,1,0,192,0,3,2,0,0,19,6,5,54.5
Ashley,eng ENG,Everton,"DF,FW",39-286,27,17,"1,586",1,3,6,1,0.3,1.6,19,81,25,0.06,0.17,0.02,0.09,N/a,N/a,N/a,N/a,50.0,0.17,0.17,24.5,591,69.7,10908,19,68,17,8,81,87.6,75.7,40.8,36,2.04,6,0.34,50,28,49,18,10,3,7,22,1015,51,311,433,276,9,14,35.7,50.0,397,1176,19,24,1,8,1,513,25,24,17,0,63,60,10,10,50.0
Axel,fr FRA,Chelsea,DF,27-041,6,4,364,1,0,1,0,0.3,0.1,6,16,2,0.25,0.00,0.07,0.02,N/a,N/a,N/a,N/a,50.0,0.25,0.50,12.3,266,90.8,4218,2,20,2,0,16,94.4,92.9,69.2,2,0.49,0,0.00,7,4,11,5,4,1,3,2,323,17,110,175,40,2,1,100.0,0.0,196,519,6,3,0,1,3,242,2,2,0,0,0,15,5,2,71.4
Axel,cd COD,Ipswich Town,DF,27-158,18,17,"1,445",0,1,5,1,0.2,0.3,9,45,8,0.00,0.06,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,15.7,535,83.1,8240,4,49,2,0,45,91.0,81.8,56.1,11,0.68,2,0.12,29,17,24,8,18,9,9,21,789,89,343,347,105,6,10,40.0,60.0,338,724,9,6,1,11,1,407,8,12,11,0,6,43,15,16,48.4
Ayden,eng ENG,Manchester Utd,DF,18-211,2,1,95,0,0,0,0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,40,81.6,695,0,2,0,0,2,82.4,88.9,33.3,2,1.89,0,0.00,3,3,2,0,2,2,0,1,67,21,42,23,3,1,2,100.0,0.0,42,122,1,1,0,2,1,40,1,2,3,0,0,4,1,2,33.3
Bart,nl NED,Brighton,GK,22-246,31,31,"2,790",0,1,5,0,0.0,0.0,0,2,0,0.00,0.03,0.00,0.00,1.68,63.7,19.4,0.0,N/a,0.00,N/a,N/a,896,78.0,21170,1,17,1,0,2,99.2,98.2,47.0,5,0.16,1,0.03,0,0,3,3,1,0,1,0,1226,973,1213,13,0,0,2,100.0,0.0,830,1548,0,1,1,2,0,789,0,0,2,0,0,57,10,1,90.9
Ben,wls WAL,Tottenham,DF,31-362,11,10,901,0,0,3,0,0.3,0.2,7,43,5,0.00,0.00,0.03,0.02,N/a,N/a,N/a,N/a,25.0,0.10,0.00,12.9,662,90.1,12311,2,35,1,0,43,93.2,95.0,70.0,4,0.40,0,0.00,10,6,12,7,18,11,7,10,848,147,444,369,35,11,1,100.0,0.0,492,1323,7,5,0,4,0,577,5,11,3,0,2,30,39,33,54.2
Ben,eng ENG,Crystal Palace,DF,28-121,6,0,139,0,0,1,0,0.1,0.2,2,3,10,0.00,0.00,0.05,0.13,N/a,N/a,N/a,N/a,50.0,0.65,0.00,27.6,45,65.2,618,2,4,2,0,3,83.9,64.0,11.1,3,1.93,0,0.00,4,4,3,3,3,1,2,4,98,6,35,43,25,1,5,40.0,40.0,39,146,2,1,0,2,2,42,10,2,2,2,3,12,3,3,50.0
Ben,eng ENG,Arsenal,DF,27-195,13,9,856,0,1,2,0,0.4,0.8,10,42,27,0.00,0.11,0.04,0.09,N/a,N/a,N/a,N/a,14.3,0.11,0.00,19.1,421,83.9,6823,7,37,8,1,42,92.4,84.9,47.6,15,1.58,1,0.11,12,8,24,14,9,7,2,12,585,44,167,263,159,19,3,0.0,66.7,279,559,10,10,3,8,4,359,27,8,4,1,10,24,11,3,78.6
Ben,eng ENG,Brentford,DF,35-212,7,2,183,0,0,2,0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,93,77.5,1751,0,10,0,0,11,89.5,85.0,40.0,0,0.00,0,0.00,2,2,1,0,3,3,0,4,138,18,66,62,11,3,0,N/a,N/a,78,274,3,1,1,0,0,86,2,5,0,0,0,11,5,5,50.0
Ben,cl CHI,Southampton,FW,26-003,10,4,449,0,0,1,0,0.9,0.1,12,9,42,0.00,0.00,0.18,0.02,N/a,N/a,N/a,N/a,9.1,0.20,0.00,17.3,128,77.1,1836,3,9,2,1,9,87.4,67.9,63.6,9,1.80,0,0.00,3,2,9,8,2,1,1,0,206,4,19,76,112,20,4,25.0,50.0,136,394,12,13,4,9,4,171,42,4,8,1,5,16,9,7,56.3
Ben,eng ENG,Ipswich Town,"DF,FW",25-087,21,13,"1,312",1,2,3,0,1.1,1.3,16,25,32,0.07,0.14,0.07,0.09,N/a,N/a,N/a,N/a,42.9,0.21,0.14,12.6,292,71.7,4751,12,21,2,2,25,86.5,75.0,49.0,23,1.58,5,0.34,35,22,39,21,21,5,16,13,609,58,238,214,160,12,23,30.4,60.9,254,575,16,12,3,22,17,284,32,25,6,1,36,55,19,18,51.4
Ben,eng ENG,Ipswich Town,DF,27-096,2,2,108,0,0,1,0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,46,83.6,632,0,5,1,0,4,90.9,88.2,N/a,1,0.83,0,0.00,0,0,0,0,1,1,0,2,63,3,22,32,9,1,0,N/a,N/a,33,79,2,2,0,2,1,40,1,1,0,0,0,2,2,0,100.0
Benoît,fr FRA,Chelsea,DF,24-026,5,3,334,0,0,0,0,0.0,0.0,3,17,2,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,273,89.8,4820,0,37,1,0,17,93.3,93.8,65.6,0,0.00,0,0.00,9,6,5,1,2,2,0,6,336,31,138,186,13,0,1,0.0,100.0,177,340,3,5,0,1,0,247,2,6,2,0,0,18,8,2,80.0
Bernardo,pt POR,Manchester City,"MF,FW",30-254,28,24,"2,221",2,4,6,0,3.0,4.2,88,105,179,0.08,0.16,0.12,0.17,N/a,N/a,N/a,N/a,33.3,0.36,0.07,13.0,1217,86.6,18489,42,66,29,7,105,91.7,88.2,64.8,78,3.16,8,0.32,48,31,49,26,28,7,21,19,1621,38,279,638,721,126,55,45.5,41.8,1016,3288,88,56,30,19,30,1197,179,23,26,3,50,85,4,10,28.6
Bernd,de GER,Fulham,GK,33-048,33,33,"2,970",0,1,4,0,0.0,0.1,0,0,0,0.00,0.03,0.00,0.00,1.36,68.4,15.2,0.0,N/a,0.00,N/a,N/a,1009,80.9,24636,2,14,2,0,0,99.5,98.8,46.6,5,0.15,2,0.06,2,2,2,0,1,0,1,0,1305,1046,1296,9,0,0,0,N/a,N/a,867,1914,0,0,0,0,0,767,0,0,3,0,0,47,9,0,100.0
